"filename","universe","status","cagr","sharpe","profit_factor","max_drawdown","calmar","train_sharpe","train_cagr","test_sharpe","test_cagr","test_profit_factor","pass_agg","pass_train","pass_test","is_pass","test_gap"
"VnMidCsEnterpriseEarningsYield.py","VN-MID-CAP","SIMULATED",0.254893675307915,1.32577632441338,1.35145508371388,-0.175699975360206,1.45073256148102,1.91599228434778,0.439521843925253,0.305866981120891,0.023483909939479,1.05916725943309,TRUE,TRUE,FALSE,FALSE,-1.61012530322688
"VnMidCsCashProfitability.py","VN-MID-CAP","SIMULATED",0.223214566236852,1.23421178236223,1.31586175040638,-0.218045067739553,1.02370839455287,1.8219289305422,0.389300040590135,0.12568022900501,0.0093581622566199,1.0276415315528,TRUE,TRUE,FALSE,FALSE,-1.69624870153719
"VnMidCsScalingEfficiency.py","VN-MID-CAP","SIMULATED",0.22599717035615,1.2731809667156,1.32164992627185,-0.214122254076957,1.05545858056337,1.85367519877454,0.386797540753468,0.27605116713721,0.0210546584168199,1.05406315675457,TRUE,TRUE,FALSE,FALSE,-1.57762403163733
"VnMidCsCashAccrualQuality.py","VN-MID-CAP","SIMULATED",0.22452860156915,1.25477902065502,1.31992882817355,-0.218111383084915,1.02942174953201,1.85268742083955,0.390146066139457,0.150964066636893,0.0112788024396067,1.0320955144075,TRUE,TRUE,FALSE,FALSE,-1.70172335420266
"VnMidCsProjectCommissioning.py","VN-MID-CAP","SIMULATED",0.224884887565913,1.2685672709298,1.31993699235193,-0.215231257551969,1.04485236077092,1.84704529347669,0.38480769691705,0.287281477215342,0.0219545477624474,1.0561677147746,TRUE,TRUE,FALSE,FALSE,-1.55976381626135
"VnMidCsInternallyFundedInvestment.py","VN-MID-CAP","SIMULATED",0.237963107540914,1.30945469823725,1.33621830481322,-0.210922065359122,1.12820395123015,1.94258788797026,0.413022866669371,0.217478033498612,0.0164476245694016,1.04374733696477,TRUE,TRUE,FALSE,FALSE,-1.72510985447165
"VnMidCsIdiosyncraticMomentum.py","VN-MID-CAP","SIMULATED",0.220485704084316,1.20867738994607,1.31078496209463,-0.210955502995615,1.04517635687301,1.83685163655066,0.390520792554357,0.167114899952947,0.0129299191580223,1.03520946769569,TRUE,TRUE,FALSE,FALSE,-1.66973673659771
"VnMidCsRecognitionMigration.py","VN-MID-CAP","SIMULATED",0.223117048601706,1.23791110188618,1.31781222144188,-0.208542486530178,1.06988773517069,1.85142848906264,0.38992693626894,0.228214978270239,0.0170450615277038,1.04604390210883,TRUE,TRUE,FALSE,FALSE,-1.62321351079241
"VnMidCsAntiLotteryMaxReturn.py","VN-MID-CAP","SIMULATED",0.224493260912307,1.26554431699435,1.32019678170324,-0.215321293386148,1.04259665814225,1.85252528845308,0.38598478608901,0.245298378953518,0.0185922490442376,1.04857381549681,TRUE,TRUE,FALSE,FALSE,-1.60722690949956
"VnMidCsEnterpriseEarningsYieldRobust.py","VN-MID-CAP","SIMULATED",0.21659756495214,1.17439957045915,1.31518262216721,-0.1653038930515,1.31029923707453,1.59666801405629,0.363180451527861,0.129041180069565,0.00924698076124408,1.02783290299207,TRUE,TRUE,FALSE,FALSE,-1.46762683398673
"VnMidCsInternallyFundedInvestmentRobust.py","VN-MID-CAP","SIMULATED",0.227359237623797,1.20275945247117,1.30536646893864,-0.243500099698578,0.933713119232006,1.7826547412804,0.391913698275452,0.122086018491385,0.00996102039547653,1.02776959156281,FALSE,TRUE,FALSE,FALSE,-1.66056872278901
"VnMidCsRecognitionMigrationRobust.py","VN-MID-CAP","SIMULATED",0.212020106546189,1.13768743708501,1.2887574606612,-0.236698503073295,0.895739110270758,1.70125442491673,0.367611855452174,0.123553362533605,0.00992721270125108,1.02816754203541,FALSE,TRUE,FALSE,FALSE,-1.57770106238313
"VnSmallCsEpsReRating.py","VN-SMALL-CAP","SIMULATED",0.0808227474372685,0.5526505410709,1.21153004441347,-0.167439299476141,0.482698791082212,0.946109589939178,0.166135591739661,-0.426371708790622,-0.0265481285401772,0.892567070734779,FALSE,FALSE,FALSE,FALSE,-1.3724812987298
"VnSmallCsProfitReRating.py","VN-SMALL-CAP","SIMULATED",-0.0641594629811996,-0.716860239604657,0.875797738674594,-0.353819172383841,-0.181334048544477,-0.0975948932986462,-0.00913829347663575,-2.32857027280877,-0.124911084209127,0.665877608268141,FALSE,FALSE,FALSE,FALSE,-2.23097537951012
"VnSmallCsEpsGrowthLiquidity.py","VN-SMALL-CAP","SIMULATED",0.0417812248344656,0.638262088839053,1.19407682790565,-0.120922567973695,0.345520489138215,0.471314740362027,0.0316428611255062,0.902749746459195,0.0583562462879572,1.27060410379981,FALSE,FALSE,FALSE,FALSE,0.431435006097169
"VnSmallCsEarningsVolumeConfirmation.py","VN-SMALL-CAP","SIMULATED",-0.00738659564101218,-0.0578425609490874,0.999287332098708,-0.291135266450319,-0.0253716965692554,0.375160257017656,0.0560917780102179,-2.03499448321025,-0.0896737191490581,0.560820282157816,FALSE,FALSE,FALSE,FALSE,-2.4101547402279
"VnSmallCsBreakoutHerding.py","VN-SMALL-CAP","SIMULATED",0.00919004311860117,0.0872370380625892,1.02663973289662,-0.323535889866282,0.0284050190610106,1.2090333006962,0.130125573730747,-2.38071380080451,-0.132678761212089,0.647001969332461,FALSE,FALSE,FALSE,FALSE,-3.58974710150071
"VnSmallCsTrendParticipation.py","VN-SMALL-CAP","SIMULATED",0.0242365722466307,0.298830400652284,1.06171066921289,-0.18618491837695,0.130174734117997,0.486946300893361,0.0442198214081251,0.314470985851216,0.0183883670207348,1.06178933563852,FALSE,FALSE,FALSE,FALSE,-0.172475315042145
